consultancy_name,state,area_district,students_applied,successful_applications,consultancy_fee_inr,commission_fee_inr,total_fee_inr,rating,reviews,primary_country,us_applications_pct,uk_applications_pct,germany_applications_pct
Future Pathways,Jharkhand,Jamshedpur,3317,2496,64000,3200,67200,3,1735,Germany,32,23,45
Overseas Pathways,Punjab,Jalandhar,4468,2928,45000,2250,47250,4.5,963,US,59,12,29
Edu Group,Haryana,Rohtak,3508,2959,26000,1300,27300,4.1,783,US,68,15,17
Horizon Experts International,Rajasthan,Udaipur,1372,1136,50000,2500,52500,3.6,4435,US,75,18,7
Summit Education,Mizoram,Champhai,3973,3048,63000,3150,66150,5,1430,Germany,15,17,68
Path Group,Nagaland,Mokokchung,2014,1420,22000,1100,23100,4,515,US,66,9,25
Future Advisors,Chhattisgarh,Raipur,1425,1136,64000,3200,67200,3.5,1566,Germany,5,25,70
Edu Pathways,Nagaland,Tuensang,2716,1929,60000,3000,63000,3.2,701,UK,7,68,25
Future Solutions,Bihar,Darbhanga,4857,4046,17000,850,17850,4.3,2740,US,71,23,6
Apex Guidance,Kerala,Kozhikode,1750,1084,20000,1000,21000,3.8,317,UK,37,53,10
Apex Consultants,Jammu and Kashmir,Kathua,1295,1106,35000,1750,36750,4.4,2534,US,47,19,34
Apex Mentors,Mizoram,Kolasib,3959,2891,38000,1900,39900,4.5,1321,UK,15,70,15
Elite Experts,Kerala,Kollam,590,485,44000,2200,46200,3.9,2281,UK,31,63,6
Elite Guidance,Andhra Pradesh,Tirupati,4933,4462,50000,2500,52500,3.6,3689,UK,6,49,45
Gateway Guidance,Meghalaya,Jowai,2617,1990,32000,1600,33600,4.3,386,US,63,15,22
Pinnacle Services,West Bengal,Darjeeling,1642,1129,39000,1950,40950,4.2,4981,US,70,16,14
Study Pathways,Andhra Pradesh,Tirupati,3064,2307,31000,1550,32550,3.3,2603,UK,14,48,38
Pioneer Mentors,Rajasthan,Ajmer,4445,3712,59000,2950,61950,4.1,516,Germany,39,9,52
Premier Guidance,Kerala,Kochi,2778,2556,30000,1500,31500,3.6,4204,Germany,28,23,49
Future Group,Sikkim,Singtam,1832,1592,18000,900,18900,3.3,1049,UK,21,50,29
Vision Advisors,Gujarat,Gandhinagar,2732,2420,31000,1550,32550,3.2,856,Germany,8,46,46
Premier Solutions,Andhra Pradesh,Vijayawada,1806,1573,60000,3000,63000,4.4,1447,Germany,12,16,72
Gateway Experts,Gujarat,Ahmedabad,956,767,75000,3750,78750,3,1163,US,68,19,13
Pinnacle Mentors,Nagaland,Dimapur,4408,3402,21000,1050,22050,4.2,2364,US,46,20,34
Study Experts,Karnataka,Mysuru,926,677,22000,1100,23100,3.9,2366,US,66,26,8
Gateway Services,Kerala,Kollam,1973,1630,53000,2650,55650,4.9,1747,US,73,8,19
Pioneer Services,West Bengal,Asansol,4687,4392,28000,1400,29400,3.6,4672,US,73,6,21
Gateway Mentors,Manipur,Bishnupur,3964,3734,18000,900,18900,4.5,4737,UK,19,68,13
Path Solutions,Nagaland,Mokokchung,1675,1434,24000,1200,25200,4.9,1298,US,45,40,15
Pinnacle Solutions,Chhattisgarh,Bilaspur,198,140,48000,2400,50400,3.4,898,Germany,17,10,73
Path Experts India,Kerala,Kochi,1062,970,63000,3150,66150,4.3,4176,Germany,14,18,68
Path Mentors,Uttarakhand,Haridwar,1984,1308,68000,3400,71400,4.8,4071,US,55,6,39
Summit Mentors,Kerala,Kozhikode,4531,3971,23000,1150,24150,4.6,964,UK,11,79,10
Pinnacle Advisors,Jharkhand,Jamshedpur,2618,1583,42000,2100,44100,3.3,568,Germany,24,20,56
Pioneer Guidance,Arunachal Pradesh,Tawang,1067,944,69000,3450,72450,3.9,850,US,80,14,6
Study Ventures,Jammu and Kashmir,Kathua,1376,1264,69000,3450,72450,3.1,3244,UK,33,58,9
Future Group,Kerala,Thiruvananthapuram,967,811,16000,800,16800,3.1,756,UK,8,72,20
Premier Experts,Arunachal Pradesh,Itanagar,1920,1689,68000,3400,71400,4.9,1215,UK,27,59,14
Pioneer Guidance,Punjab,Amritsar,2051,1734,28000,1400,29400,3.5,530,US,66,21,13
Elite Mentors,Maharashtra,Nagpur,1760,1322,51000,2550,53550,3.3,4564,Germany,15,36,49
Elite Experts,Karnataka,Mysuru,3767,2917,57000,2850,59850,4.8,2142,US,79,10,11
Gateway Pathways,Arunachal Pradesh,Itanagar,2132,1341,55000,2750,57750,4,1180,UK,8,74,18
Global Services,Kerala,Thiruvananthapuram,170,106,35000,1750,36750,3.3,4912,Germany,14,28,58
Elite Solutions,Uttarakhand,Rishikesh,2997,2723,15000,750,15750,4.4,1159,Germany,17,29,54
Edu Guidance,Chhattisgarh,Korba,303,257,20000,1000,21000,3.8,475,UK,7,49,44
Vision Mentors Network,Haryana,Rohtak,2223,2107,19000,950,19950,4.2,1875,UK,14,55,31
Path Mentors,Chhattisgarh,Korba,4689,3936,57000,2850,59850,4.3,2506,US,61,29,10
Premier Experts Network,West Bengal,Darjeeling,2817,2171,24000,1200,25200,4.1,37,UK,9,72,19
Elite Ventures,Kerala,Thrissur,2804,2103,69000,3450,72450,3.9,1373,US,52,39,9
Global Pathways,Telangana,Warangal,4837,4351,40000,2000,42000,4.7,2893,UK,27,64,9
Edu Guidance,Himachal Pradesh,Dharamshala,270,189,20000,1000,21000,4.3,3931,Germany,28,26,46
Study Services,Punjab,Jalandhar,4644,2839,45000,2250,47250,4,2442,UK,26,45,29
Global Experts,Haryana,Ambala,60,54,38000,1900,39900,4.2,4854,Germany,24,11,65
Summit Pathways,Andhra Pradesh,Kurnool,4056,3824,14000,700,14700,4.4,1351,Germany,19,7,74
Future Advisors,Madhya Pradesh,Jabalpur,469,392,16000,800,16800,3.6,1355,Germany,35,11,54
Elite Services,Jharkhand,Jamshedpur,3617,3151,37000,1850,38850,3.1,2141,US,77,7,16
Pinnacle Consultants International,Delhi,Rohini,2789,1995,55000,2750,57750,3.5,3934,UK,26,56,18
Edu Guidance,Maharashtra,Aurangabad,3998,2609,72000,3600,75600,4.5,3950,Germany,7,32,61
Future Guidance,Punjab,Bathinda,928,701,35000,1750,36750,4.9,1053,US,48,35,17
Global Education,Odisha,Sambalpur,580,507,51000,2550,53550,4.5,2332,US,69,21,10
Pioneer Solutions,West Bengal,Asansol,1068,857,75000,3750,78750,3.8,76,UK,6,45,49
Future Solutions Global,West Bengal,Siliguri,2238,1785,15000,750,15750,4.9,3799,US,78,12,10
Apex Advisors,Rajasthan,Udaipur,1683,1025,64000,3200,67200,3.5,2168,UK,8,49,43
Edu Group,Sikkim,Singtam,3586,2318,74000,3700,77700,4,941,US,72,9,19
Premier Services Global,Himachal Pradesh,Solan,2619,2128,24000,1200,25200,3.5,3357,Germany,13,42,45
Premier Pathways,Himachal Pradesh,Solan,1698,1112,37000,1850,38850,4.4,2542,US,64,15,21
Premier Group,Telangana,Khammam,1068,979,34000,1700,35700,4.1,4800,Germany,14,15,71
Study Experts,Karnataka,Mysuru,279,232,45000,2250,47250,4.7,4560,UK,27,47,26
Study Services International,Meghalaya,Shillong,3524,3034,10000,500,10500,4.5,2992,UK,5,77,18
Edu Advisors Global,Punjab,Bathinda,1015,773,52000,2600,54600,3.2,4107,US,72,19,9
Horizon Advisors,Jammu and Kashmir,Srinagar,143,121,24000,1200,25200,3.5,587,Germany,9,29,62
Global Education Network,Uttar Pradesh,Agra,465,289,58000,2900,60900,3.4,4800,Germany,13,10,77
Overseas Consultants,Meghalaya,Williamnagar,630,431,44000,2200,46200,3.2,4067,UK,13,77,10
Study Ventures,Gujarat,Jamnagar,1069,771,42000,2100,44100,4.3,642,US,57,36,7
Gateway Ventures,Arunachal Pradesh,Pasighat,3354,2984,72000,3600,75600,4.9,4859,US,49,33,18
Vision Guidance,Odisha,Cuttack,4561,3214,11000,550,11550,5,1592,US,79,16,5
Elite Services,Delhi,Vasant Kunj,3092,2016,22000,1100,23100,3.1,1317,Germany,5,39,56
Horizon Group,Himachal Pradesh,Shimla,1266,902,59000,2950,61950,3.5,2712,UK,27,47,26
Overseas Guidance,Maharashtra,Thane,1425,1315,51000,2550,53550,3.1,2397,UK,36,54,10
Future Services,Arunachal Pradesh,Pasighat,4457,2892,26000,1300,27300,3.6,2434,US,57,30,13
Premier Services,Mizoram,Serchhip,61,43,64000,3200,67200,3.8,3691,UK,45,46,9
Pioneer Group,Punjab,Amritsar,799,618,54000,2700,56700,3.4,2557,US,77,11,12
Global Pathways,Tamil Nadu,Madurai,3630,2236,32000,1600,33600,3.8,2285,US,52,24,24
Path Solutions,Jharkhand,Dhanbad,2880,2221,48000,2400,50400,4.6,3469,UK,5,55,40
Premier Education,Manipur,Bishnupur,3142,2014,74000,3700,77700,4.2,4659,UK,35,58,7
Vision Pathways,Sikkim,Singtam,2213,1812,61000,3050,64050,4.4,465,Germany,15,36,49
Future Solutions,Delhi,Dwarka,1331,935,32000,1600,33600,4.1,335,UK,5,56,39
Global Ventures,Sikkim,Mangan,3484,2241,28000,1400,29400,4.5,2903,UK,18,48,34
Future Experts,Mizoram,Serchhip,3601,3332,74000,3700,77700,4.7,4835,Germany,16,27,57
Horizon Services,Jharkhand,Dhanbad,1035,788,37000,1850,38850,4.5,3945,US,68,8,24
Study Solutions,Tamil Nadu,Tiruchirappalli,194,128,35000,1750,36750,3.3,3884,US,64,5,31
Premier Experts,Kerala,Thiruvananthapuram,3873,3151,18000,900,18900,3.6,4709,Germany,34,15,51
Path Education,Bihar,Bhagalpur,4614,2849,58000,2900,60900,4.8,2010,US,79,5,16
Path Education,Bihar,Bhagalpur,1951,1579,37000,1850,38850,4.9,957,UK,32,59,9
Horizon Education,Bihar,Muzaffarpur,3452,2546,60000,3000,63000,3.4,512,US,49,19,32
Edu Group,Uttar Pradesh,Prayagraj,1754,1283,53000,2650,55650,3,165,Germany,16,5,79
Pioneer Solutions,Arunachal Pradesh,Itanagar,2863,2594,15000,750,15750,3.3,305,US,48,10,42
Pioneer Consultants,Uttarakhand,Haldwani,4245,3434,15000,750,15750,3.2,3032,Germany,18,23,59
Future Education,Nagaland,Wokha,2212,2007,60000,3000,63000,4.8,2990,US,55,26,19
Elite Ventures India,Kerala,Thiruvananthapuram,4337,3454,39000,1950,40950,4.8,1012,US,68,14,18
Elite Advisors,Chhattisgarh,Raipur,296,239,46000,2300,48300,4.3,4024,UK,13,63,24
Pinnacle Ventures,West Bengal,Durgapur,4056,2441,54000,2700,56700,4.8,3197,US,56,5,39
Future Solutions,Punjab,Chandigarh,2448,2235,75000,3750,78750,3.4,3130,US,52,33,15
Study Group,West Bengal,Asansol,2420,2100,59000,2950,61950,5,4867,US,70,16,14
Horizon Guidance,Delhi,Connaught Place,2212,1395,10000,500,10500,4.4,610,Germany,19,7,74
Pioneer Solutions,Mizoram,Lunglei,254,205,66000,3300,69300,3.6,3268,US,61,7,32
Future Consultants,Odisha,Cuttack,817,560,67000,3350,70350,4.7,743,US,55,38,7
Edu Services,Punjab,Jalandhar,4311,3687,45000,2250,47250,4,3746,US,68,16,16
Pinnacle Ventures,Goa,South Goa,1552,1421,68000,3400,71400,3.5,4204,Germany,6,14,80
Elite Guidance,Uttar Pradesh,Prayagraj,4148,3614,27000,1350,28350,4,788,UK,30,63,7
Future Experts,Manipur,Churachandpur,4651,3774,52000,2600,54600,3.2,2668,Germany,25,16,59
Premier Solutions International,Chhattisgarh,Raipur,2393,1875,69000,3450,72450,4,4926,US,53,29,18
Overseas Ventures,Jammu and Kashmir,Anantnag,3045,2118,58000,2900,60900,3.9,4212,UK,22,47,31
Horizon Solutions,Karnataka,Mysuru,1140,769,34000,1700,35700,4.7,724,US,55,5,40
Vision Mentors,Punjab,Bathinda,3926,2820,63000,3150,66150,4.3,2334,US,60,23,17
Overseas Consultants,Mizoram,Lunglei,493,366,73000,3650,76650,4,3656,Germany,16,14,70
Overseas Ventures,Maharashtra,Nagpur,772,727,37000,1850,38850,3.6,3811,Germany,36,17,47
Future Advisors Global,Andhra Pradesh,Guntur,3352,2141,16000,800,16800,3.8,3270,US,60,8,32
Pioneer Pathways International,Tamil Nadu,Chennai,142,92,68000,3400,71400,4.7,3960,Germany,5,15,80
Apex Services,Mizoram,Aizawl,219,173,44000,2200,46200,3.1,3045,US,53,9,38
Elite Consultants International,Sikkim,Namchi,709,426,65000,3250,68250,4,1865,Germany,11,9,80
Summit Consultants,Mizoram,Aizawl,3659,2429,21000,1050,22050,3.4,746,US,62,22,16
Apex Mentors,Tamil Nadu,Vellore,1545,1036,67000,3350,70350,3.2,2831,US,74,20,6
Gateway Group,Goa,South Goa,4206,3834,62000,3100,65100,4.8,4090,UK,14,73,13
Vision Experts International,Odisha,Bhubaneswar,1153,886,50000,2500,52500,3.5,3888,Germany,11,10,79
Path Advisors International,Madhya Pradesh,Bhopal,3940,2603,70000,3500,73500,4.1,4011,US,71,11,18
Study Advisors,Jammu and Kashmir,Kathua,4528,3198,10000,500,10500,3.7,2036,UK,9,80,11
Edu Group,Jharkhand,Ranchi,4575,3670,20000,1000,21000,4.7,2572,UK,13,65,22
Future Mentors,Himachal Pradesh,Manali,3728,3527,40000,2000,42000,3.2,1714,Germany,10,17,73
Future Guidance,Arunachal Pradesh,Pasighat,3450,3265,59000,2950,61950,4.7,303,US,78,14,8
Elite Guidance,Bihar,Darbhanga,3711,3286,68000,3400,71400,4.6,2586,US,50,17,33
Horizon Ventures International,Delhi,Dwarka,2113,1454,34000,1700,35700,4.7,1120,Germany,7,38,55
Premier Ventures,Goa,Margao,1473,1342,73000,3650,76650,4.1,4426,Germany,31,12,57
Future Group,Mizoram,Aizawl,3961,3618,62000,3100,65100,4.6,4062,UK,7,78,15
Future Pathways,Tripura,Kailashahar,3681,3455,59000,2950,61950,4.2,579,UK,14,52,34
Elite Ventures,Assam,Guwahati,778,590,11000,550,11550,3.2,4813,US,56,9,35
Gateway Education,Rajasthan,Kota,487,343,34000,1700,35700,3.6,1749,UK,15,79,6
Apex Consultants,Chhattisgarh,Durg,3099,2424,73000,3650,76650,3.2,3432,US,54,15,31
Future Pathways,Mizoram,Lunglei,1365,891,70000,3500,73500,4.7,1986,US,78,7,15
Path Education,Tripura,Dharmanagar,4119,3744,46000,2300,48300,4,2920,US,65,22,13
Vision Ventures Network,Arunachal Pradesh,Tawang,268,201,14000,700,14700,4,592,Germany,5,15,80
Future Pathways,Bihar,Bhagalpur,2874,2229,69000,3450,72450,4.1,2689,Germany,19,13,68
Vision Group,Odisha,Sambalpur,4415,2727,47000,2350,49350,3.8,1708,Germany,11,15,74
Gateway Ventures,Gujarat,Ahmedabad,2273,2028,18000,900,18900,4.1,4651,UK,20,47,33
Study Consultants,Uttar Pradesh,Noida,812,589,70000,3500,73500,4.2,1522,UK,5,75,20
Global Pathways International,Andhra Pradesh,Tirupati,1150,1051,49000,2450,51450,3.3,1980,Germany,5,16,79
Premier Services,Uttarakhand,Dehradun,89,62,30000,1500,31500,4.9,211,Germany,15,14,71
Summit Mentors,Himachal Pradesh,Mandi,120,99,71000,3550,74550,4.3,519,US,53,30,17
Global Services,Goa,Vasco da Gama,873,768,38000,1900,39900,3.6,2581,UK,15,66,19
Path Solutions,Uttarakhand,Rishikesh,3084,2458,42000,2100,44100,3.1,415,US,56,15,29
Overseas Experts,Jharkhand,Ranchi,3211,2759,51000,2550,53550,3.4,3505,US,53,17,30
Gateway Mentors Network,Uttarakhand,Rishikesh,2156,1471,10000,500,10500,5,3294,Germany,31,18,51
Future Guidance India,Goa,North Goa,4686,4016,75000,3750,78750,4.2,3422,Germany,12,11,77
Apex Group,Bihar,Darbhanga,815,770,61000,3050,64050,4.2,1334,Germany,10,13,77
Path Mentors,Himachal Pradesh,Manali,1421,1229,26000,1300,27300,4.2,772,US,48,23,29
Apex Solutions,Odisha,Rourkela,2689,1992,35000,1750,36750,4.2,4899,Germany,17,10,73
Elite Experts,Nagaland,Kohima,3066,2105,42000,2100,44100,4.1,4463,Germany,24,7,69
Pioneer Group,Gujarat,Jamnagar,3031,2766,30000,1500,31500,4.4,2966,UK,18,64,18
Edu Education,Mizoram,Champhai,4088,3602,47000,2350,49350,4.7,992,US,63,22,15
Future Consultants,Kerala,Thrissur,2000,1645,17000,850,17850,3.1,4213,Germany,36,16,48
Edu Pathways,Meghalaya,Williamnagar,992,812,61000,3050,64050,4.5,4670,US,74,17,9
Summit Education,Uttarakhand,Haridwar,4505,2726,47000,2350,49350,4.5,1631,US,58,6,36
Study Consultants,Kerala,Kozhikode,4616,3579,53000,2650,55650,4.5,3309,UK,15,74,11
Vision Experts Global,Bihar,Gaya,750,535,35000,1750,36750,4,3340,UK,20,56,24
Premier Pathways,Punjab,Chandigarh,1048,657,52000,2600,54600,4.8,4215,US,53,30,17
Path Education India,Tripura,Ambassa,3727,3194,41000,2050,43050,3.6,3128,US,80,14,6
Overseas Experts,Madhya Pradesh,Bhopal,2631,1600,72000,3600,75600,4,4609,Germany,20,27,53
Overseas Advisors,Tripura,Dharmanagar,2432,1539,26000,1300,27300,3.7,2581,Germany,19,29,52
Gateway Pathways,Andhra Pradesh,Guntur,929,794,33000,1650,34650,4.4,3078,US,58,30,12
Premier Education,Odisha,Bhubaneswar,921,660,57000,2850,59850,3.8,4970,UK,11,67,22
Pioneer Ventures,Karnataka,Bengaluru,4616,3836,27000,1350,28350,4.2,1753,Germany,23,6,71
Vision Mentors,Kerala,Kochi,2556,1705,25000,1250,26250,4.6,2792,US,50,27,23
Edu Services,Uttar Pradesh,Noida,3930,3498,13000,650,13650,4.1,241,US,50,41,9
Horizon Education,Assam,Tezpur,4746,4234,15000,750,15750,3.9,2094,US,63,24,13
Summit Pathways Global,Meghalaya,Williamnagar,645,494,70000,3500,73500,3.9,3148,US,55,37,8
Gateway Consultants Network,Jharkhand,Jamshedpur,1061,664,29000,1450,30450,5,4607,Germany,7,15,78
Summit Services,Goa,South Goa,323,296,39000,1950,40950,3.9,3190,Germany,20,6,74
Study Advisors,Himachal Pradesh,Shimla,1965,1227,39000,1950,40950,4,2664,UK,5,65,30
Apex Ventures India,Haryana,Panipat,1925,1736,73000,3650,76650,3.9,2296,UK,36,59,5
Vision Ventures,Gujarat,Ahmedabad,914,709,36000,1800,37800,4.9,1127,US,75,12,13
Future Services,Rajasthan,Jodhpur,4761,3439,39000,1950,40950,4.9,2315,Germany,6,44,50
Edu Advisors Network,Arunachal Pradesh,Pasighat,564,448,60000,3000,63000,4.9,4143,Germany,18,17,65
Pinnacle Pathways,Bihar,Bhagalpur,626,593,20000,1000,21000,3,4158,US,72,17,11
Overseas Experts,Mizoram,Serchhip,1084,866,13000,650,13650,4.9,2326,Germany,16,22,62
Path Group International,Maharashtra,Nashik,3243,2979,18000,900,18900,4,4723,Germany,29,10,61
Overseas Ventures,Sikkim,Mangan,1379,1014,55000,2750,57750,3.3,4438,UK,22,72,6
Path Pathways,Odisha,Rourkela,1673,1216,35000,1750,36750,3.5,1140,UK,18,65,17
Pioneer Services,Gujarat,Gandhinagar,3534,2489,49000,2450,51450,3.2,3119,Germany,31,13,56
Horizon Guidance,Gujarat,Vadodara,805,585,39000,1950,40950,4.9,2309,US,66,17,17
Vision Services,Uttarakhand,Rishikesh,3114,2422,50000,2500,52500,3.7,2827,UK,26,51,23
Path Pathways,Himachal Pradesh,Solan,617,448,73000,3650,76650,3.6,3131,UK,9,67,24
Edu Advisors India,Gujarat,Surat,1217,761,14000,700,14700,4.1,1361,US,50,39,11
Path Experts,Punjab,Amritsar,1828,1639,10000,500,10500,4.1,76,UK,14,64,22
Premier Advisors International,Arunachal Pradesh,Ziro,1239,1103,14000,700,14700,4,153,UK,29,64,7
Summit Guidance,Delhi,New Delhi,2821,2640,49000,2450,51450,3.9,4424,US,61,19,20
Global Ventures,Uttarakhand,Dehradun,4937,3424,60000,3000,63000,4.2,1311,Germany,20,27,53
Horizon Mentors,Kerala,Thiruvananthapuram,2780,2259,64000,3200,67200,4.8,3100,US,53,15,32
Edu Services,Kerala,Thiruvananthapuram,2399,1683,65000,3250,68250,4.2,3639,UK,13,80,7
Summit Guidance,Gujarat,Surat,4022,2854,22000,1100,23100,3.9,4315,US,73,9,18
Pioneer Guidance,Uttarakhand,Haridwar,1106,823,16000,800,16800,4.4,1856,US,69,18,13
Pinnacle Advisors,Assam,Guwahati,4468,4093,50000,2500,52500,3.7,496,UK,18,76,6
Edu Advisors,Goa,South Goa,2567,1890,22000,1100,23100,4.4,3597,Germany,18,8,74
Horizon Advisors Global,Andhra Pradesh,Tirupati,3298,2790,17000,850,17850,3.9,329,US,65,27,8
Edu Services,Uttar Pradesh,Noida,425,288,32000,1600,33600,4.6,1358,US,65,15,20
Future Consultants,Andhra Pradesh,Nellore,151,128,30000,1500,31500,4.5,1915,US,48,25,27
Horizon Ventures,Uttarakhand,Dehradun,3252,2824,53000,2650,55650,5,4313,UK,9,78,13
Elite Experts,Odisha,Bhubaneswar,2549,2344,69000,3450,72450,4,4145,UK,23,63,14
Global Experts,Uttarakhand,Dehradun,4458,3108,41000,2050,43050,4.9,44,US,67,23,10
Apex Pathways,Bihar,Darbhanga,3567,2736,26000,1300,27300,4.1,4392,US,66,7,27
Vision Pathways,Maharashtra,Mumbai,4738,4359,28000,1400,29400,4.4,4646,UK,21,70,9
Study Ventures Global,Kerala,Kochi,2705,2091,45000,2250,47250,3.4,1958,UK,11,52,37
Gateway Pathways,Himachal Pradesh,Solan,981,900,15000,750,15750,3.6,586,Germany,20,14,66
Premier Experts,Uttarakhand,Haridwar,1169,808,45000,2250,47250,4.4,3927,UK,38,48,14
Global Group,Manipur,Imphal,4891,4440,36000,1800,37800,4.2,2833,Germany,10,16,74
Horizon Solutions India,Uttarakhand,Dehradun,1244,900,40000,2000,42000,4.9,724,Germany,30,7,63
Apex Advisors,Mizoram,Serchhip,298,248,40000,2000,42000,4.6,1258,Germany,5,25,70
Global Experts,Himachal Pradesh,Manali,3693,2966,58000,2900,60900,3.7,352,Germany,9,14,77
Gateway Education,Punjab,Jalandhar,737,509,32000,1600,33600,4.6,2207,US,49,45,6
Apex Guidance,Uttar Pradesh,Noida,163,109,47000,2350,49350,3.4,2107,US,65,12,23
Premier Advisors Global,Gujarat,Vadodara,218,197,36000,1800,37800,4.1,940,US,49,37,14
Pinnacle Group,Sikkim,Namchi,2720,1790,29000,1450,30450,4.6,4166,UK,15,79,6
Vision Pathways,Delhi,Connaught Place,3896,2919,25000,1250,26250,4.5,4795,Germany,7,23,70
Summit Services,Uttarakhand,Haridwar,4795,3892,35000,1750,36750,4.2,3697,US,77,10,13
Study Advisors,West Bengal,Darjeeling,617,457,47000,2350,49350,4.2,3645,Germany,9,38,53
Horizon Solutions,Sikkim,Singtam,4324,3227,40000,2000,42000,3.1,136,US,72,14,14
Vision Consultants International,Odisha,Sambalpur,3992,3571,39000,1950,40950,3.4,3476,Germany,19,14,67
Future Mentors,Arunachal Pradesh,Ziro,3890,3544,44000,2200,46200,3.7,277,US,49,8,43
Edu Guidance India,Rajasthan,Bikaner,1717,1588,19000,950,19950,4.5,42,US,70,24,6
Future Pathways,Himachal Pradesh,Mandi,653,399,57000,2850,59850,4.2,4202,UK,17,66,17
Study Consultants,Meghalaya,Nongpoh,82,69,28000,1400,29400,3.8,4282,US,80,7,13
Vision Ventures,Goa,Margao,4143,2562,32000,1600,33600,4.6,2977,Germany,10,15,75
Overseas Solutions Global,Odisha,Sambalpur,4637,3679,29000,1450,30450,4.6,1727,UK,7,67,26
Summit Ventures,Jharkhand,Bokaro,3523,2555,54000,2700,56700,3.7,2944,Germany,13,31,56
Summit Guidance,Uttar Pradesh,Prayagraj,4783,3958,72000,3600,75600,3.9,2307,US,56,9,35
Overseas Pathways,Jammu and Kashmir,Kathua,704,587,42000,2100,44100,4.3,2423,US,57,7,36
Study Mentors,Himachal Pradesh,Solan,4814,3279,74000,3700,77700,4.4,2091,US,50,40,10
Edu Group,Rajasthan,Jaipur,3385,2664,15000,750,15750,4.4,4566,Germany,30,21,49
Pioneer Advisors,Andhra Pradesh,Vijayawada,1580,1228,75000,3750,78750,3.1,4122,US,69,18,13
Global Advisors,Jammu and Kashmir,Jammu,3575,2848,61000,3050,64050,4.9,1057,US,54,13,33
Horizon Consultants,Odisha,Berhampur,2147,1626,62000,3100,65100,3.9,2086,Germany,28,7,65
Global Solutions,Jammu and Kashmir,Baramulla,2800,2457,37000,1850,38850,3,247,UK,11,78,11
Elite Guidance,Himachal Pradesh,Mandi,690,544,43000,2150,45150,3.5,2522,UK,32,45,23
Overseas Group,Karnataka,Belagavi,2786,1709,55000,2750,57750,4.4,1269,Germany,41,6,53
Horizon Ventures,Andhra Pradesh,Kurnool,3427,2890,70000,3500,73500,4.3,758,Germany,24,28,48
Pioneer Group,Sikkim,Singtam,422,293,29000,1450,30450,4.5,883,UK,21,70,9
Study Services India,Tripura,Udaipur,2649,1898,54000,2700,56700,3.2,4521,Germany,26,13,61
Study Consultants Network,Himachal Pradesh,Dharamshala,2782,2511,65000,3250,68250,4.6,729,US,47,47,6
Apex Education,Andhra Pradesh,Nellore,330,305,31000,1550,32550,4.4,1319,Germany,20,19,61
Pinnacle Ventures,Arunachal Pradesh,Bomdila,4432,3330,68000,3400,71400,3.5,3960,Germany,12,42,46
Pioneer Solutions,Uttarakhand,Haridwar,3230,2084,21000,1050,22050,4,513,UK,9,79,12
Pinnacle Pathways India,Jharkhand,Deoghar,4069,3650,42000,2100,44100,4.4,4083,Germany,7,46,47
Premier Advisors,Bihar,Bhagalpur,712,457,34000,1700,35700,4.7,1110,UK,11,70,19
Pioneer Ventures,Uttar Pradesh,Varanasi,4998,4550,58000,2900,60900,4.1,2409,UK,21,71,8
Pioneer Solutions,Jammu and Kashmir,Jammu,3920,3238,37000,1850,38850,3.9,4675,US,56,34,10
Overseas Experts,Mizoram,Kolasib,3179,2446,17000,850,17850,4.9,1672,UK,29,61,10
Future Group,Mizoram,Champhai,230,153,42000,2100,44100,4.1,4046,US,51,8,41
Elite Education,Odisha,Sambalpur,3019,2187,44000,2200,46200,4,2028,UK,16,56,28
Elite Pathways,Bihar,Bhagalpur,4336,3663,21000,1050,22050,4.3,3658,US,45,49,6
Pinnacle Guidance,Rajasthan,Bikaner,1377,876,31000,1550,32550,3.3,1004,Germany,27,13,60
Apex Pathways,Punjab,Patiala,359,294,54000,2700,56700,3.5,3545,Germany,27,13,60
Apex Ventures,Rajasthan,Ajmer,1647,1392,42000,2100,44100,4.9,4611,Germany,6,33,61
Vision Guidance,Arunachal Pradesh,Bomdila,3786,2680,64000,3200,67200,3.7,2911,US,72,7,21
Gateway Services Network,Andhra Pradesh,Nellore,407,288,25000,1250,26250,3.1,4526,UK,30,47,23
Edu Advisors,Gujarat,Ahmedabad,176,149,11000,550,11550,3.5,4836,US,68,11,21
Future Solutions Network,West Bengal,Howrah,892,716,51000,2550,53550,4.5,3028,UK,14,79,7
Future Group,Himachal Pradesh,Manali,1883,1404,44000,2200,46200,5,1064,Germany,13,19,68
Overseas Ventures India,Tripura,Udaipur,2036,1642,28000,1400,29400,3.4,2081,UK,25,63,12
Summit Solutions,Jharkhand,Ranchi,1562,1466,60000,3000,63000,4.1,4583,UK,19,65,16
Study Solutions International,Maharashtra,Aurangabad,854,559,44000,2200,46200,4.1,41,US,51,28,21
Pioneer Ventures,Gujarat,Gandhinagar,2701,2288,47000,2350,49350,3.9,2031,US,46,25,29
Pinnacle Experts,Rajasthan,Bikaner,1813,1578,66000,3300,69300,3.9,3532,Germany,13,7,80
Pinnacle Pathways International,Goa,Margao,4539,3883,53000,2650,55650,4.9,2340,UK,17,68,15
Future Solutions,Jharkhand,Bokaro,2005,1397,14000,700,14700,4.3,3152,Germany,9,28,63
Pinnacle Services,Bihar,Bhagalpur,4313,3344,54000,2700,56700,3.3,1390,UK,13,65,22
